,Pais,Sedes,seccionesPromedio,IED2022MU$S
0,brasil,11,1.6363636363636365,86050.3589742
1,uruguay,8,0.5,3838.7455694
2,bolivia,7,2.2857142857142856,-26.3584197
3,chile,6,2.3333333333333335,19786.0049798
4,china,6,2.8333333333333335,189132.41
5,alemania,4,3.5,11053.3958703655
6,canada,4,1.75,52633.1964457898
7,italia,4,3.25,19946.8421185648
8,paraguay,4,0.0,473.5296986
9,australia,2,4.0,61629.4781585723
10,belgica,2,5.5,-1710.1505437942
11,ecuador,2,5.0,788.0578035
12,francia,2,4.5,36413.3593927702
13,india,2,3.5,49354.6119469879
14,israel,2,2.5,27760.138
15,peru,2,3.5,11655.582069
16,sudafrica,2,2.0,9051.1940893575
17,suiza,2,2.5,13311.3012013619
18,angola,1,6.0,-6142.2488482
19,arabia saudita,1,0.0,7886.3419579
20,argelia,1,6.0,88.7685192
21,argentina,1,0.0,15087.3983545
22,armenia,1,3.0,998.0554254
23,austria,1,11.0,1946.8179089829
24,azerbaiyan,1,5.0,-4474.47
25,bangladesh,1,0.0,3479.95
26,barbados,1,7.0,200.0
27,bulgaria,1,0.0,2504.8770554451
28,colombia,1,7.0,17047.55184
29,costa rica,1,2.0,3045.0352224
30,dinamarca,1,4.0,4493.543948745
31,egipto,1,6.0,11399.9
32,el salvador,1,5.0,-99.10179
33,emiratos arabes unidos,1,3.0,22736.5554799
34,filipinas,1,4.0,9199.94291
35,finlandia,1,2.0,9444.790780351
36,grecia,1,4.0,7603.6389823762
37,guatemala,1,3.0,1352.40938
38,haiti,1,7.0,39.3032
39,honduras,1,4.0,822.6
40,hungria,1,5.0,8571.4661649745
41,indonesia,1,5.0,21968.17
42,iran,1,1.0,1500.0
43,irlanda,1,4.0,1490.0634356335
44,jamaica,1,3.0,359.5146667
45,japon,1,6.0,32508.808407328
46,kenia,1,6.0,759.4937022
47,kuwait,1,5.0,757.7713697959
48,libano,1,5.0,457.878416
49,malasia,1,3.0,16939.6011339045
50,marruecos,1,5.0,2141.3963266166
51,mozambique,1,8.0,1975.2948418
52,nicaragua,1,1.0,1293.8
53,nigeria,1,6.0,-186.7924289
54,noruega,1,3.0,-3435.5550512072
55,nueva zelanda,1,3.0,7538.7573921352
56,paises bajos,1,4.0,-67340.3343428557
57,pakistan,1,2.0,1339.0
58,panama,1,4.0,2640.4232533
59,polonia,1,3.0,29461.8954191771
60,portugal,1,5.0,9099.4033147856
61,republica dominicana,1,3.0,4010.4
62,rumania,1,2.0,11272.9459238604
63,senegal,1,0.0,2586.1799342661
64,serbia,1,4.0,5465.4202400108
65,singapur,1,4.0,141210.9668252014
66,suecia,1,4.0,45963.0673591154
67,tailandia,1,6.0,10033.6581375
68,tunez,1,7.0,713.3651243717
69,ucrania,1,4.0,848.0
70,venezuela,1,5.0,941.3333333
