,Pais,Sede,RedSocial,url
0,alemania,CBONN,Facebook,https://www.facebook.com/ConsuladoArgentinoenBonn 
1,alemania,CBONN,Instagram, http://www.instagram.com/consulado.argentino.bonn 
2,alemania,EALEM,Facebook,https://www.facebook.com/ArgEnAlemania/ 
3,angola,EANGO,Facebook,https://www.facebook.com/ArgentinaEnAngola/ 
4,angola,EANGO,Instagram, https://www.instagram.com/embargentinaenangola/ 
5,arabia saudita,EARAB,Facebook,https://www.facebook.com/argentinaenarabiasaudita/ 
6,arabia saudita,EARAB,Instagram, https://www.instagram.com/arginsaudi/ 
7,arabia saudita,EARAB,Twitter, https://twitter.com/ensaudita 
8,argelia,EARGE,Facebook, facebook.com/ArgentinaEnArgelia 
9,argelia,EARGE,Instagram, https://instagram.com/argenargelia 
10,argelia,EARGE,Twitter,https://twitter.com/ARGenArgelia 
11,armenia,EARME,Facebook, https://www.facebook.com/ArgentinaEnArmenia 
12,armenia,EARME,Instagram,https://www.instagram.com/arginarmenia/ 
13,armenia,EARME,Twitter, https://twitter.com/ARGinArmenia 
14,australia,CSIDN,Facebook,https://www.facebook.com/ArgentinaEnSidney/ 
15,australia,EAUST,Facebook,https://www.facebook.com/ArgentinaEnAustralia/ 
16,australia,EAUST,Twitter, https://twitter.com/ARGinAustralia 
17,austria,ETRIA,Facebook,https://www.facebook.com/ArgentinaEnAustria/ 
18,austria,ETRIA,Instagram, https://www.instagram.com/argenviena/ 
19,austria,ETRIA,Twitter, https://twitter.com/ARGenViena 
20,azerbaiyan,EAZER,Facebook,https://www.facebook.com/EmbassyOfArgentina/ 
21,azerbaiyan,EAZER,Instagram, www.instagram.com/embargentinaaz 
22,azerbaiyan,EAZER,Twitter, www.twitter.com/ARGEnAzer 
23,barbados,EBARB,Facebook,https://www.facebook.com/ArgentinaEnBarbados/ 
24,belgica,EBELG,Facebook,https://www.facebook.com/ArgentinaEnBelgica/ 
25,belgica,EBELG,Instagram, https://www.instagram.com/argenbelgica/ 
26,belgica,ECEUR,Facebook,https://www.facebook.com/ARGanteUE 
27,belgica,ECEUR,Flickr, https://www.flickr.com/people/197084220@N02/ 
28,belgica,ECEUR,Linkedin, https://www.linkedin.com/company/arganteue 
29,belgica,ECEUR,Twitter, https://twitter.com/ARGanteUE 
30,belgica,ECEUR,Youtube, https://www.youtube.com/@ARGanteUE 
31,bolivia,CCOCH,Facebook,wwww.facebook.com/ArgentinaEnCochabamba 
32,bolivia,CSCRS,Facebook, www.facebook.com/ArgEnSantaCruz  de  la  Sierra 
33,bolivia,CVILL,Facebook,https://www.facebook.com/ArgEnVillazon 
34,brasil,CALEG,Facebook, https://www.facebook.com/ArgentinaEnPortoAlegre/ 
35,brasil,CALEG,Instagram, https://www.instagram.com/argenportoalegre/ 
36,brasil,CALEG,Twitter,https://twitter.com/ArgPortoAlegre 
37,brasil,CBELO,Facebook,https://www.facebook.com/ArgentinaEnBeloHorizonte/ 
38,brasil,CBELO,Instagram, https://www.instagram.com/consgralbelo/ 
39,brasil,CBELO,Twitter, https://twitter.com/consgralbelo 
40,brasil,CCURI,Facebook,https://www.facebook.com/ArgEnCuritiba/ 
41,brasil,CCURI,Instagram, https://instagram.com/argEncuritiba 
42,brasil,CCURI,Twitter, https://twitter.com/ARGenCuri 
43,brasil,CFDIG,Facebook, https://www.facebook.com/ArgentinaEnFozDeIguazu 
44,brasil,CFDIG,Instagram, https://www.instagram.com/argentinaenfoz/ 
45,brasil,CFDIG,Twitter,https://twitter.com/argentinaenfoz 
46,brasil,CFLOR,Facebook, https://www.facebook.com/cflor.mrecic.gov.ar 
47,brasil,CRECI,Facebook,https://www.facebook.com/ArgentinaEnBrasilRecife 
48,brasil,CRECI,Instagram, https://www.instagram.com/consuladoargentinorecife 
49,brasil,CRIOJ,Facebook,https://www.facebook.com/ArgentinaEnRiodeJaneiro/ 
50,brasil,CSBAH,Facebook, https://www.facebook.com/ArgentinaenSalvador 
51,brasil,CSBAH,Instagram,https://www.instagram.com/argentinaensalvador 
52,brasil,CSBAH,Twitter, https://twitter.com/ArgentinaEnSSA 
53,brasil,CURUG,Facebook,https://www.facebook.com/ArgEnUruguayana/ 
54,brasil,CURUG,Twitter, https://twitter.com/CURUGoK 
55,brasil,EBRAS,Facebook, https://www.facebook.com/embargbrasil 
56,brasil,EBRAS,Instagram,https://www.instagram.com/embaargenbrasil 
57,brasil,EBRAS,Twitter, https://twitter.com/ArgentinaEnBras 
58,bulgaria,EBULG,Facebook,https://www.facebook.com/ArgentinaEnBulgaria/ 
59,bulgaria,EBULG,Youtube, https://www.youtube.com/channel/UCK-uSxN84lEMqJwCviEjZow 
60,canada,CTORO,Facebook,https://www.facebook.com/ArgentinaEnToronto/ 
