,codigo,año,monto
0,BGD,2022,3479.95
1,BEL,2022,-1710.1505437942
2,DNK,2022,4493.543948745
3,FRA,2022,36413.3593927702
4,MOZ,2022,1975.2948418
5,NOR,2022,-3435.5550512072
6,PER,2022,11655.582069
7,CHE,2022,13311.3012013619
8,CHN,2021,180957.2149443
9,EGY,2021,5122.0
10,GTM,2021,3461.7743
11,ITA,2021,-8955.7110990734
12,MAR,2021,2266.4556114246
13,NGA,2021,3313.21
14,PRY,2021,191.5862305
15,ROU,2021,10573.7001090487
16,SRB,2021,5087.102013734
17,THA,2021,14640.8730289
18,TUN,2021,660.2332394693
19,JAM,2021,320.48
20,DZA,2020,1142.64069
21,AUS,2020,13582.8255057344
22,BEL,2020,6805.2075028612
23,BOL,2020,-1129.4872713
24,FRA,2020,11359.1454541716
25,GTM,2020,934.87964
26,HND,2020,418.6
27,HUN,2020,7046.7195910922
28,ISR,2020,23109.378
29,KWT,2020,239.6867744495
30,LBN,2020,1606.8947219
31,PAN,2020,149.9502883
32,SEN,2020,1845.6638812822
33,ZAF,2020,3062.2564228128
34,ARM,2019,100.2872144
35,BGD,2019,2873.95
36,FIN,2019,13456.0874802413
37,FRA,2019,13100.0944836758
38,HTI,2019,75.0
39,HND,2019,498.1
40,KWT,2019,350.7254974293
41,MAR,2019,1719.9614519008
42,NOR,2019,16714.7727272727
43,SGP,2019,97483.5026441219
44,SWE,2019,8760.8313036451
45,THA,2019,5518.718141
46,ARE,2019,17874.6594005
47,ARG,2018,11716.5835681
48,AUT,2018,5389.7691421067
49,FIN,2018,-2171.7770545082
50,PAN,2018,4750.5034767
51,PER,2018,6761.1857889
52,POL,2018,15996.269918158
53,ZAF,2018,5449.5540137104
54,ARG,2022,15087.3983545
55,BRA,2022,86050.3589742
56,ECU,2022,788.0578035
57,FIN,2022,9444.790780351
58,HUN,2022,8571.4661649745
59,KEN,2022,759.4937022
60,NZL,2022,7538.7573921352
61,SAU,2022,7886.3419579
62,SEN,2022,2586.1799342661
63,SRB,2022,5465.4202400108
64,TUN,2022,713.3651243717
65,IND,2022,49354.6119469879
66,BOL,2021,583.5764247
67,DNK,2021,4681.4809913549
68,ECU,2021,647.2981509
69,MOZ,2021,5101.6679545
70,PHL,2021,11983.36333
71,SEN,2021,2588.1249941674
72,SWE,2021,21133.1643535228
73,UKR,2021,7320.0
74,ARE,2021,20667.1204901
75,ARM,2020,58.5827501
76,BGD,2020,2563.58
77,CHN,2020,149342.26
78,MAR,2020,1419.2078697277
79,MOZ,2020,3034.5620562
80,NZL,2020,3886.3648449021
81,CHE,2020,-50251.7302455363
82,CAN,2019,50543.6793832949
83,CRI,2019,2812.2612876
84,IRL,2019,149433.097945092
85,NZL,2019,4273.0791402454
86,NIC,2019,503.0
87,PRT,2019,12251.4775436707
88,VEN,2019,-1278.0
89,IND,2019,50558.3310017797
90,JAM,2019,665.415555
91,BGD,2018,3613.3
92,HTI,2018,105.0
93,ISR,2018,21514.605
94,KEN,2018,1139.4382243
95,KWT,2018,204.0169957974
96,MYS,2018,7618.3376991572
97,JAM,2018,774.6206031
98,AUT,2022,1946.8179089829
99,BGR,2022,2504.8770554451
100,SLV,2022,-99.10179
101,DEU,2022,11053.3958703655
102,GRC,2022,7603.6389823762
103,JPN,2022,32508.808407328
104,NLD,2022,-67340.3343428557
105,NIC,2022,1293.8
106,PAN,2022,2640.4232533
107,UKR,2022,848.0
108,JAM,2022,359.5146667
109,AUS,2021,20898.8119204582
110,FIN,2021,13806.129907486
111,FRA,2021,30884.9027905579
112,GRC,2021,6328.1893248208
113,HTI,2021,51.299
114,SGP,2021,131151.4920546073
115,GRC,2020,3212.5060193762
116,NGA,2020,2385.2776659
117,PAK,2020,2057.0
118,DZA,2019,1381.81231
119,SLV,2019,636.16817
120,GTM,2019,976.14102
121,IDN,2019,23883.25
122,PAK,2019,2234.0
123,PAN,2019,3920.9840219
124,ROU,2019,5791.0433057644
125,SRB,2019,4554.8498112565
126,BRB,2018,241.5964999
127,ECU,2018,1389.1987631
128,EGY,2018,8141.3
129,HND,2018,961.3
130,IRL,2018,-12017.4025593666
131,JPN,2018,9962.7208448871
132,MOZ,2018,2703.0312939
133,IND,2018,42156.1933670502
134,DZA,2022,88.7685192
135,AUS,2022,61629.4781585723
136,CAN,2022,52633.1964457898
137,HND,2022,822.6
138,MAR,2022,2141.3963266166
139,PAK,2022,1339.0
140,ROU,2022,11272.9459238604
141,SGP,2022,141210.9668252014
142,BGR,2021,1892.4481095076
143,HUN,2021,7558.8109729513
144,LBN,2021,605.143327
145,MYS,2021,12173.3758952409
146,PAN,2021,1926.9511123
147,SAU,2021,19285.6435846
148,ZAF,2021,40948.1145742535
149,AGO,2020,-1866.4681131
150,AUT,2020,-9351.4194625736
151,COL,2020,7458.62498
152,ECU,2020,1094.6859008
153,EGY,2020,5851.8
154,SRB,2020,3863.3484750533
155,SWE,2020,21514.1533253662
156,THA,2020,-4950.9983569
157,ARE,2020,19884.4686649
158,AUT,2019,4905.4797083992
