,nombre,codigo,region_geografica
0,finlandia,FIN,EUROPA  OCCIDENTAL
1,grecia,GRC,EUROPA  OCCIDENTAL
2,italia,ITA,EUROPA  OCCIDENTAL
3,marruecos,MAR,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
4,portugal,PRT,EUROPA  OCCIDENTAL
5,qatar,QAT,ASIA
6,vietnam,VNM,ASIA
7,haiti,HTI,AMÉRICA  CENTRAL  Y  CARIBE
8,bulgaria,BGR,EUROPA  CENTRAL  Y  ORIENTAL
9,corea del sur,KOR,ASIA
10,emiratos arabes unidos,ARE,ASIA
11,estados unidos de america,USA,AMÉRICA  DEL  NORTE
12,india,IND,ASIA
13,indonesia,IDN,ASIA
14,japon,JPN,ASIA
15,kenia,KEN,ÁFRICA  SUBSAHARIANA
16,noruega,NOR,EUROPA  OCCIDENTAL
17,peru,PER,AMÉRICA  DEL  SUR
18,rusia,RUS,EUROPA  CENTRAL  Y  ORIENTAL
19,sudafrica,ZAF,ÁFRICA  SUBSAHARIANA
20,turquia,TUR,EUROPA  OCCIDENTAL
21,venezuela,VEN,AMÉRICA  DEL  SUR
22,alemania,DEU,EUROPA  OCCIDENTAL
23,argelia,DZA,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
24,azerbaiyan,AZE,ASIA
25,belgica,BEL,EUROPA  OCCIDENTAL
26,chile,CHL,AMÉRICA  DEL  SUR
27,cuba,CUB,AMÉRICA  CENTRAL  Y  CARIBE
28,dinamarca,DNK,EUROPA  OCCIDENTAL
29,filipinas,PHL,ASIA
30,guatemala,GTM,AMÉRICA  CENTRAL  Y  CARIBE
31,israel,ISR,ASIA
32,mexico,MEX,AMÉRICA  DEL  NORTE
33,nigeria,NGA,ÁFRICA  SUBSAHARIANA
34,republica dominicana,DOM,AMÉRICA  CENTRAL  Y  CARIBE
35,suecia,SWE,EUROPA  OCCIDENTAL
36,suiza,CHE,EUROPA  OCCIDENTAL
37,angola,AGO,ÁFRICA  SUBSAHARIANA
38,australia,AUS,OCEANÍA
39,bolivia,BOL,AMÉRICA  DEL  SUR
40,ciudad del vaticano,VAT,EUROPA  OCCIDENTAL
41,francia,FRA,EUROPA  OCCIDENTAL
42,irlanda,IRL,EUROPA  OCCIDENTAL
43,jamaica,JAM,AMÉRICA  CENTRAL  Y  CARIBE
44,kuwait,KWT,ASIA
45,nueva zelanda,NZL,OCEANÍA
46,santa lucia,LCA,AMÉRICA  CENTRAL  Y  CARIBE
47,arabia saudita,SAU,ASIA
48,argentina,ARG,AMÉRICA  DEL  SUR
49,austria,AUT,EUROPA  OCCIDENTAL
50,brasil,BRA,AMÉRICA  DEL  SUR
51,canada,CAN,AMÉRICA  DEL  NORTE
52,colombia,COL,AMÉRICA  DEL  SUR
53,costa rica,CRI,AMÉRICA  CENTRAL  Y  CARIBE
54,egipto,EGY,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
55,libano,LBN,ASIA
56,mozambique,MOZ,ÁFRICA  SUBSAHARIANA
57,pakistan,PAK,ASIA
58,senegal,SEN,ÁFRICA  SUBSAHARIANA
59,serbia,SRB,EUROPA  CENTRAL  Y  ORIENTAL
60,singapur,SGP,ASIA
61,china,CHN,ASIA
62,ecuador,ECU,AMÉRICA  DEL  SUR
63,hungria,HUN,EUROPA  CENTRAL  Y  ORIENTAL
64,libia,LBY,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
65,siria,SYR,ASIA
66,trinidad y tobago,TTO,AMÉRICA  CENTRAL  Y  CARIBE
67,ucrania,UKR,EUROPA  CENTRAL  Y  ORIENTAL
68,armenia,ARM,ASIA
69,bangladesh,BGD,ASIA
70,españa,ESP,EUROPA  OCCIDENTAL
71,etiopia,ETH,ÁFRICA  SUBSAHARIANA
72,guyana,GUY,AMÉRICA  CENTRAL  Y  CARIBE
73,nicaragua,NIC,AMÉRICA  CENTRAL  Y  CARIBE
74,paises bajos,NLD,EUROPA  OCCIDENTAL
75,republica checa,CZE,EUROPA  CENTRAL  Y  ORIENTAL
76,malasia,MYS,ASIA
77,barbados,BRB,AMÉRICA  CENTRAL  Y  CARIBE
78,el salvador,SLV,AMÉRICA  CENTRAL  Y  CARIBE
79,iran,IRN,ASIA
80,palestina,PSE,ASIA
81,panama,PAN,AMÉRICA  CENTRAL  Y  CARIBE
82,paraguay,PRY,AMÉRICA  DEL  SUR
83,polonia,POL,EUROPA  CENTRAL  Y  ORIENTAL
84,rumania,ROU,EUROPA  CENTRAL  Y  ORIENTAL
85,surinam,SUR,AMÉRICA  DEL  SUR
86,tailandia,THA,ASIA
87,tunez,TUN,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
88,uruguay,URY,AMÉRICA  DEL  SUR
89,honduras,HND,AMÉRICA  CENTRAL  Y  CARIBE
