,sede_id,descripcion
0,ECHES,Administración
1,ERUNI,Administración
2,EHAIT,Administración
3,EKENY,Administración
4,ERUNI,Administración
5,CNYOR,Administración
6,EECUA,Administración  y  Logística
7,EJAPO,Administrativa
8,ESALV,Administrativa  -  Contable
9,EGUAT,Agregada  Administrativa
10,EPNMA,Agregada  Administrativa
11,ETURQ,Agregada  para  Asuntos  Administrativos
12,EPORT,Agregado  Administrativo
13,EISIA,Agregado  Administrativo
14,ETAIL,Agregado  Administrativo
15,CGUAY,AGREGADO  CONSULAR
16,EBRAS,Agregado  Militar  y  de  Defensa
17,EBRAS,Agregado  Naval
18,EBOLV,Agregaduría  Aeronáutica
19,EEEUU,Agregaduria  Aeronautica
20,EHILE,Agregaduria  Aeronáutica
21,EFRUS,Agregaduría  Agrícola
22,ECHIN,Agregaduría  Agrícola
23,ESURI,Agregaduria  de  Defensa
24,EPERU,Agregaduria  de  Defensa  y  Aeronáutica
25,EHILE,Agregaduría  de  Defensa  y  Aeronáutica
26,EBOLV,Agregaduría  de  Defensa  y  Militar
27,EALEM,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica"
28,EFRUS,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica"
29,ECHIN,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica"
30,EISRA,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica"
31,EKUWA,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica"
32,EMEXI,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica"
33,ERUNI,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica"
34,ESAFR,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica"
35,ECOLO,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica"
36,EITAL,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica"
37,ERUNI,"Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea"
38,EHILE,Agregaduría  de  Gendarmería  Nacional
39,EBOLV,Agregaduría  de  Gendarmería  Nacional  Argentina  (GNA)
40,EBOLV,Agregaduría  de  Prefectura  Naval
41,EECUA,Agregaduria  Militar
42,EEEUU,Agregaduria  Militar
43,EEGIP,Agregaduría  Militar
44,EHILE,Agregaduria  Militar
45,EEEUU,Agregaduria  Naval
46,EHILE,Agregaduría  Naval
47,EFILI,Ana  Clara  Pianezza  
48,EFILI,Andrea  Silvina  Repetti
49,CNYOR,Asistencia  a  Argentinos  en  el  Exterior
50,CHONG,Asuntos  Consulares
51,ETUNE,Asuntos  Culturales  
52,ENIGE,Asuntos  Culturales  y  Prensa
53,EFRUS,Asuntos  Estratégicos
54,EKENY,Asuntos  Multilaterales  (PNUMA-ONU  Hábitat)
55,ETRIA,"Asuntos  Nucleares  (OIEA, CTBTO, Zangger  C., NSG)"
56,ETRIA,Asuntos  ONUAEE
57,ETRIA,Asuntos  ONUDD
58,ETRIA,Asuntos  ONUDI
59,ECEUR,Cancillería
60,CNYOR,Comunidad  argentina  y  diplomacia  pública
61,ECEUR,Consejería  Agrícola
62,EEEUU,Consejería  Agrícola
63,EBRAS,Consejería  Agrícola
64,CPCAR,Cónsul  Adjunto
65,CMIAM,Cónsul  General  Adjunto
66,EKENY,Consular  
67,CGUAY,CONSULAR
